,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
448,01/19/2022 17,62.71,135.67,11426.0
449,01/19/2022 18,73.29,135.54,11723.0
450,01/19/2022 19,64.07,135.52,11611.0
451,01/19/2022 20,51.18,135.5,11443.0
452,01/19/2022 21,50.26,135.48,11271.0
453,01/19/2022 22,50.2,135.46,11057.0
454,01/19/2022 23,48.97,135.44,10776.0
455,01/19/2022 24,48.74,135.43,10515.0
456,01/20/2022 01,52.6,135.43,10282.0
457,01/20/2022 02,47.52,135.45,10104.0
458,01/20/2022 03,45.0,135.46,10077.0
459,01/20/2022 04,44.86,135.48,10068.0
460,01/20/2022 05,45.8,135.5,10090.0
461,01/20/2022 06,49.87,135.52,10160.0
462,01/20/2022 07,55.14,135.53,10418.0
463,01/20/2022 08,57.13,135.55,10812.0
464,01/20/2022 09,64.5,135.56,11010.0
465,01/20/2022 10,60.12,135.57,11046.0
466,01/20/2022 11,58.95,135.58,11018.0
467,01/20/2022 12,57.2,135.58,10978.0
468,01/20/2022 13,63.84,135.59,10947.0
469,01/20/2022 14,52.43,135.54,10883.0
470,01/20/2022 15,50.94,135.51,10843.0
471,01/20/2022 16,50.11,135.48,10797.0
472,01/20/2022 17,53.24,135.46,10866.0
473,01/20/2022 18,65.59,135.44,11046.0
474,01/20/2022 19,56.41,135.42,10920.0
475,01/20/2022 20,51.47,135.41,10787.0
476,01/20/2022 21,45.74,135.38,10607.0
477,01/20/2022 22,50.27,135.36,10423.0
478,01/20/2022 23,50.64,135.35,10159.0
479,01/20/2022 24,48.08,135.33,9873.0
480,01/21/2022 01,37.57,135.31,9694.0
481,01/21/2022 02,36.58,135.29,9594.0
482,01/21/2022 03,39.35,135.26,9524.0
483,01/21/2022 04,41.35,135.24,9491.0
484,01/21/2022 05,47.23,135.23,9492.0
485,01/21/2022 06,49.55,135.23,9669.0
486,01/21/2022 07,58.73,135.25,10023.0
487,01/21/2022 08,66.26,135.28,10448.0
488,01/21/2022 09,168.84,135.46,10666.0
489,01/21/2022 10,69.42,135.5,10704.0
490,01/21/2022 11,80.0,135.54,10778.0
491,01/21/2022 12,96.41,135.61,10781.0
492,01/21/2022 13,54.02,135.62,10750.0
493,01/21/2022 14,48.3,135.61,10774.0
494,01/21/2022 15,48.52,135.61,10760.0
495,01/21/2022 16,46.34,135.61,10725.0
496,01/21/2022 17,60.19,135.63,10766.0
497,01/21/2022 18,61.4,135.63,10998.0
498,01/21/2022 19,57.17,135.63,10876.0
499,01/21/2022 20,53.71,135.63,10770.0
500,01/21/2022 21,44.28,135.61,10641.0
501,01/21/2022 22,40.77,135.6,10439.0
502,01/21/2022 23,40.86,135.59,10217.0
503,01/21/2022 24,44.06,135.61,10001.0
504,01/22/2022 01,43.53,135.62,9792.0
505,01/22/2022 02,42.98,135.64,9634.0
506,01/22/2022 03,40.4,135.65,9567.0
507,01/22/2022 04,39.27,135.66,9510.0
508,01/22/2022 05,36.56,135.67,9469.0
509,01/22/2022 06,31.66,135.67,9509.0
510,01/22/2022 07,32.75,135.67,9659.0
511,01/22/2022 08,35.23,135.66,9836.0
512,01/22/2022 09,41.53,135.65,10052.0
513,01/22/2022 10,47.03,135.63,10135.0
514,01/22/2022 11,54.17,135.61,10218.0
515,01/22/2022 12,56.22,135.6,10262.0
516,01/22/2022 13,54.84,135.58,10223.0
517,01/22/2022 14,66.48,135.57,10155.0
518,01/22/2022 15,58.9,135.56,10115.0
519,01/22/2022 16,58.9,135.55,10161.0
520,01/22/2022 17,58.9,135.56,10321.0
521,01/22/2022 18,81.01,135.59,10560.0
522,01/22/2022 19,66.93,135.61,10500.0
523,01/22/2022 20,38.89,135.57,10314.0
524,01/22/2022 21,37.62,135.53,10171.0
525,01/22/2022 22,38.99,135.49,10003.0
526,01/22/2022 23,39.19,135.48,9788.0
527,01/22/2022 24,35.61,135.45,9597.0
528,01/23/2022 01,30.04,135.41,9431.0
529,01/23/2022 02,29.55,135.38,9353.0
530,01/23/2022 03,28.78,135.36,9280.0
531,01/23/2022 04,28.38,135.34,9250.0
532,01/23/2022 05,28.87,135.3,9254.0
533,01/23/2022 06,29.44,135.29,9256.0
534,01/23/2022 07,35.38,135.28,9371.0
535,01/23/2022 08,36.23,135.28,9499.0
536,01/23/2022 09,39.17,135.26,9730.0
537,01/23/2022 10,43.25,135.24,9871.0
538,01/23/2022 11,44.82,135.22,10012.0
539,01/23/2022 12,44.16,135.2,10078.0
540,01/23/2022 13,44.33,135.18,10128.0
541,01/23/2022 14,49.99,135.17,10087.0
542,01/23/2022 15,49.32,135.17,10112.0
543,01/23/2022 16,50.35,135.16,10149.0
544,01/23/2022 17,70.36,135.17,10362.0
545,01/23/2022 18,80.41,135.2,10693.0
546,01/23/2022 19,49.7,135.18,10661.0
547,01/23/2022 20,74.47,135.2,10526.0
548,01/23/2022 21,389.33,135.67,10295.0
549,01/23/2022 22,443.18,136.21,9953.0
550,01/23/2022 23,57.27,136.21,9784.0
551,01/23/2022 24,58.19,136.21,9617.0
552,01/24/2022 01,76.78,136.24,9480.0
553,01/24/2022 02,84.06,136.28,9378.0
554,01/24/2022 03,72.09,136.3,9392.0
555,01/24/2022 04,49.68,136.29,9388.0
556,01/24/2022 05,49.07,136.27,9384.0
557,01/24/2022 06,54.46,136.26,9530.0
558,01/24/2022 07,65.89,136.26,9961.0
559,01/24/2022 08,57.41,136.26,10448.0
560,01/24/2022 09,61.81,136.26,10681.0
561,01/24/2022 10,67.64,136.27,10717.0
562,01/24/2022 11,71.39,136.28,10793.0
