Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/17/2020 04,33.29,122.29,10182
01/17/2020 05,31.02,122.29,10215
01/17/2020 06,39.86,122.3,10376
01/17/2020 07,58.41,122.34,10669
01/17/2020 08,132.66,122.48,11071
01/17/2020 09,143.2,122.62,11249
01/17/2020 10,168,122.8,11295
01/17/2020 11,263,123.11,11328
01/17/2020 12,63.77,123.13,11363
01/17/2020 13,77.76,123.17,11357
01/17/2020 14,167.2,123.35,11274
01/17/2020 15,82.44,123.42,11246
01/17/2020 16,101.01,123.51,11216
01/17/2020 17,242.53,123.77,11270
01/17/2020 18,815.9,124.84,11428
01/17/2020 19,721.62,125.8,11282
01/17/2020 20,145.19,125.96,11203
01/17/2020 21,59.75,126,11236
01/17/2020 22,46.07,126.01,11137
01/17/2020 23,40.9,126.03,10868
01/17/2020 24,34.92,126.04,10650
01/18/2020 01,34.35,126.04,10492
01/18/2020 02,39.49,126.06,10414
01/18/2020 03,35.07,126.07,10299
01/18/2020 04,33.78,126.08,10238
01/18/2020 05,32.8,126.08,10278
01/18/2020 06,33.06,126.08,10352
01/18/2020 07,39.01,126.09,10452
01/18/2020 08,34.28,126.08,10738
01/18/2020 09,39.91,126.08,10911
01/18/2020 10,39.41,126.08,11012
01/18/2020 11,39.86,126.09,11103
01/18/2020 12,39.75,126.1,11119
01/18/2020 13,39.6,126.1,11092
01/18/2020 14,39.07,126.11,11062
01/18/2020 15,39.28,126.12,11027
01/18/2020 16,38.42,126.12,11028
01/18/2020 17,49.69,126.13,11199
01/18/2020 18,64.54,126.11,11456
01/18/2020 19,58.23,126.14,11372
01/18/2020 20,40.58,126.13,11232
01/18/2020 21,37.91,126.08,11098
01/18/2020 22,33.43,125.94,10928
01/18/2020 23,32.28,125.9,10693
01/18/2020 24,35.01,125.89,10520
01/19/2020 01,33.26,125.89,10325
01/19/2020 02,31.72,125.89,10205
01/19/2020 03,29.42,125.88,10140
01/19/2020 04,29.38,125.88,10113
01/19/2020 05,29.73,125.89,10141
01/19/2020 06,29.48,125.89,10179
01/19/2020 07,29.43,125.89,10292
01/19/2020 08,29.46,125.88,10463
01/19/2020 09,29.41,125.87,10642
01/19/2020 10,30.42,125.86,10711
01/19/2020 11,29.47,125.84,10821
01/19/2020 12,29.41,125.83,10868
01/19/2020 13,29.48,125.82,10879
01/19/2020 14,29.81,125.81,10834
01/19/2020 15,29.81,125.79,10825
01/19/2020 16,29.8,125.78,10881
01/19/2020 17,30.59,125.72,10969
01/19/2020 18,37.16,125.67,11313
01/19/2020 19,34.97,125.63,11100
01/19/2020 20,34.5,125.63,10946
01/19/2020 21,32.25,125.62,10791
01/19/2020 22,29.82,125.6,10594
01/19/2020 23,28.8,125.59,10310
01/19/2020 24,27.01,125.57,10032
01/20/2020 01,25.32,125.56,9870
01/20/2020 02,27.55,125.55,9774
01/20/2020 03,29.34,125.55,9692
01/20/2020 04,29.48,125.55,9697
01/20/2020 05,29.37,125.55,9768
01/20/2020 06,31.21,125.55,9912
01/20/2020 07,39.16,125.57,10280
01/20/2020 08,37.95,125.58,10662
01/20/2020 09,33.78,125.58,10831
01/20/2020 10,39.11,125.58,10822
01/20/2020 11,36.58,125.58,10821
01/20/2020 12,33.54,125.57,10833
01/20/2020 13,33.62,125.57,10811
01/20/2020 14,38.19,125.57,10796
01/20/2020 15,39.11,125.58,10774
01/20/2020 16,42.42,125.59,10853
01/20/2020 17,44.12,125.6,11010
01/20/2020 18,52.99,125.62,11214
01/20/2020 19,41.16,125.63,11077
01/20/2020 20,49.79,125.65,10882
01/20/2020 21,37.43,125.65,10774
01/20/2020 22,35.34,125.65,10523
01/20/2020 23,33.02,125.64,10144
01/20/2020 24,31.87,125.64,9815
01/21/2020 01,31.41,125.63,9624
01/21/2020 02,29.07,125.62,9545
01/21/2020 03,28.86,125.61,9470
01/21/2020 04,28.78,125.6,9455
01/21/2020 05,28.93,125.59,9477
01/21/2020 06,31.48,125.58,9640
01/21/2020 07,36.1,125.57,10062
01/21/2020 08,37.4,125.57,10524
01/21/2020 09,39.63,125.58,10658
01/21/2020 10,44.28,125.49,10611
01/21/2020 11,39.86,125.35,10512
01/21/2020 12,39.66,125.34,10457
01/21/2020 13,38.28,125.3,10441
01/21/2020 14,48.34,125.29,10447
01/21/2020 15,41.61,125.27,10430
01/21/2020 16,38.03,125.14,10494
01/21/2020 17,40.49,124.97,10651
01/21/2020 18,42.45,124.78,10946
01/21/2020 19,38.13,124.77,10833
01/21/2020 20,35.96,124.77,10750
01/21/2020 21,29.15,124.75,10575
01/21/2020 22,29.12,124.73,10310
01/21/2020 23,26.44,124.72,10013
01/21/2020 24,25.74,124.71,9692
01/22/2020 01,27.42,124.69,9536
01/22/2020 02,27.69,124.68,9428
01/22/2020 03,26.9,124.67,9372
01/22/2020 04,24.94,124.65,9360
01/22/2020 05,27.35,124.64,9472
01/22/2020 06,29.34,124.62,9659
01/22/2020 07,31.73,124.61,10085
01/22/2020 08,35.74,124.61,10573
01/22/2020 09,35.23,124.55,10674
01/22/2020 10,37.38,124.48,10723
01/22/2020 11,37.73,124.29,10748
01/22/2020 12,37.38,124.22,10706
01/22/2020 13,37.21,124.19,10744
01/22/2020 14,35.51,124.19,10704
01/22/2020 15,34.72,124.09,10626
01/22/2020 16,34.5,124,10672
01/22/2020 17,34.57,123.92,10792
01/22/2020 18,37.31,123.63,11072
01/22/2020 19,36.35,123.57,11017
01/22/2020 20,34.67,123.51,10898
01/22/2020 21,34.64,123.48,10814
01/22/2020 22,34.63,123.38,10554
01/22/2020 23,32.06,123.33,10191
01/22/2020 24,34.45,123.3,9927
01/23/2020 01,34.73,123.3,9768
01/23/2020 02,35.19,123.3,9661
01/23/2020 03,35.1,123.3,9588
01/23/2020 04,34.79,123.29,9582
01/23/2020 05,34.75,123.29,9627
01/23/2020 06,34.79,123.29,9816
01/23/2020 07,36.61,123.28,10256
01/23/2020 08,37.37,123.27,10727
01/23/2020 09,36.74,123.2,10937
01/23/2020 10,36.68,123.17,10986
01/23/2020 11,35.18,123.11,10972
01/23/2020 12,35.74,122.97,10994
01/23/2020 13,33.25,122.97,10957
01/23/2020 14,33.03,122.97,10929
01/23/2020 15,32.1,122.96,10900
01/23/2020 16,33.01,122.96,10916
01/23/2020 17,32.9,122.95,11005
01/23/2020 18,34.24,122.94,11255
01/23/2020 19,33.41,122.95,11138
01/23/2020 20,32.2,122.94,10984
01/23/2020 21,32.33,122.94,10832
01/23/2020 22,32.96,122.94,10549
01/23/2020 23,30.23,122.94,10216
01/23/2020 24,31.33,122.93,9913
01/24/2020 01,31.41,122.93,9739
01/24/2020 02,31.22,122.93,9635
01/24/2020 03,31.44,122.94,9570
01/24/2020 04,31.41,122.94,9551
01/24/2020 05,32.71,122.95,9588
01/24/2020 06,31.34,122.95,9735
01/24/2020 07,36.81,122.96,10129
01/24/2020 08,39.28,122.97,10594
01/24/2020 09,39.95,122.97,10798
01/24/2020 10,37.43,122.97,10768
01/24/2020 11,32.86,122.96,10774
01/24/2020 12,33.82,122.95,10713
01/24/2020 13,33.85,122.95,10658
01/24/2020 14,33.86,122.94,10585
01/24/2020 15,29.39,122.93,10559
01/24/2020 16,29.08,122.91,10561
01/24/2020 17,29.11,122.86,10670
01/24/2020 18,34.03,122.79,10898
01/24/2020 19,33.92,122.78,10791
01/24/2020 20,32.59,122.78,10670
