,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
551,03/24/2020 01,32.0,41.65,9322.0
552,03/24/2020 02,30.29,41.65,9201.0
553,03/24/2020 03,28.9,41.64,9144.0
554,03/24/2020 04,28.91,41.63,9132.0
555,03/24/2020 05,28.91,41.63,9148.0
556,03/24/2020 06,31.6,41.62,9317.0
557,03/24/2020 07,32.9,41.62,9660.0
558,03/24/2020 08,32.91,41.62,9947.0
559,03/24/2020 09,36.11,41.63,10126.0
560,03/24/2020 10,43.68,41.64,10264.0
561,03/24/2020 11,79.84,41.7,10305.0
562,03/24/2020 12,77.65,41.76,10367.0
563,03/24/2020 13,92.54,41.84,10358.0
564,03/24/2020 14,111.21,41.95,10327.0
565,03/24/2020 15,87.49,42.03,10228.0
566,03/24/2020 16,64.02,42.08,10254.0
567,03/24/2020 17,50.49,42.1,10345.0
568,03/24/2020 18,33.16,42.1,10360.0
569,03/24/2020 19,33.9,42.09,10237.0
570,03/24/2020 20,32.91,42.08,10188.0
571,03/24/2020 21,37.4,42.08,10303.0
572,03/24/2020 22,52.49,42.11,10094.0
573,03/24/2020 23,32.89,42.11,9833.0
574,03/24/2020 24,32.88,42.11,9580.0
575,03/25/2020 01,32.9,42.11,9394.0
